River,Date Sampled,Year,Month,Date as Text,Sampling Conditions,Parameter,Result,Result Less Than or Equal To,Result Unit,Guideline Value,Guideline Unit,Guideline Source
Morell River,"Jun 27, 2018",2018,6,2018-06-27T00:00:00.000,normal (dry),Methamidophos,< 5.0,5,ng/ml,4.5,ng/ml,USEPA Aquatic Life Benchmark
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Dichlobenil,< 0.025,0.025,ng/ml,,ng/ml,
Huntley River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Metribuzin,< 0.03,0.03,ng/ml,1,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Imazamethabenz,< 0.05,0.05,ng/ml,,ng/ml,
West River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Rimsulfuron,< 0.02,0.02,ng/ml,11.6,ng/ml,USEPA Aquatic Life Benchmark
Wilmot River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Prometryn,< 0.026,0.026,ng/ml,,ng/ml,
Wilmot River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Endosulfan I,< 0.01,0.01,ng/ml,0.006,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Wilmot River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Pirimicarb,< 0.026,0.026,ng/ml,,ng/ml,
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Cycloate,< 0.026,0.026,ng/ml,,ng/ml,
Mill River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Thiabendazole,< 0.02,0.02,ng/ml,42,ng/ml,USEPA Aquatic Life Benchmark
Clyde River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Carbofuran,< 0.02,0.02,ng/ml,1.8,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Fluroxypyr,< 0.026,0.026,ng/ml,,ng/ml,
Montague River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Fludioxonil,< 0.01,0.01,ng/ml,19,ng/ml,USEPA Aquatic Life Benchmark
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Carbofuran,< 0.025,0.025,ng/ml,1.8,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Clyde River,"Jul 25, 2018",2018,7,2018-07-25T00:00:00.000,normal (dry),Fluazifop-P-Butyl,< 0.02,0.02,ng/ml,203,ng/ml,USEPA Aquatic Life Benchmark
Morell River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Captan,< 0.059,0.059,ng/ml,,ng/ml,
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Propoxur,< 0.025,0.025,ng/ml,,ng/ml,
Wilmot River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),op-DDE,< 0.055,0.055,ng/ml,,ng/ml,
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Picoxystrobin,< 0.025,0.025,ng/ml,,ng/ml,
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Ampa,< 1.0,1,ng/ml,,ng/ml,
West River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Metobromuron,< 0.03,0.03,ng/ml,,ng/ml,
Wilmot River,"Aug 21, 2018",2018,8,2018-08-21T00:00:00.000,normal (dry),Thiabendazole,< 0.02,0.02,ng/ml,42,ng/ml,USEPA Aquatic Life Benchmark
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Chlorothalonil,< 0.052,0.052,ng/ml,0.18,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Wilmot River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Bifenthrin,< 0.026,0.026,ng/ml,,ng/ml,
Montague River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Atrazine,< 0.03,0.03,ng/ml,1.8,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Montague River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Chlormephos,< 0.025,0.025,ng/ml,,ng/ml,
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Metconazole,< 0.152,0.152,ng/ml,,ng/ml,
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Napropamide,< 0.025,0.025,ng/ml,,ng/ml,
West River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Thifensulfuron-Methyl,< 0.02,0.02,ng/ml,1.59,ng/ml,USEPA Aquatic Life Benchmark
Morell River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Diphenamid,< 0.025,0.025,ng/ml,,ng/ml,
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Terbutryn,< 0.025,0.025,ng/ml,,ng/ml,
Clyde River,"Aug 22, 2018",2018,8,2018-08-22T00:00:00.000,normal (dry),Thiamethoxam,< 0.01,0.01,ng/ml,0.3,ng/ml,Health Canada Guidance Value
Wilmot River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Azinphos-Methyl,< 0.511,0.511,ng/ml,0.036,ng/ml,USEPA Aquatic Life Benchmark
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),delta-BHC,< 0.153,0.153,ng/ml,,ng/ml,
Mill River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Thifensulfuron-Methyl,< 0.02,0.02,ng/ml,1.59,ng/ml,USEPA Aquatic Life Benchmark
Montague River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Flamprop-Methyl,< 0.025,0.025,ng/ml,,ng/ml,
Mill River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Thifensulfuron-Methyl,< 0.02,0.02,ng/ml,1.59,ng/ml,USEPA Aquatic Life Benchmark
Morell River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Thiamethoxam,< 0.01,0.01,ng/ml,0.3,ng/ml,Health Canada Guidance Value
Wilmot River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Fenthion,< 0.025,0.025,ng/ml,,ng/ml,
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Bromacil,< 0.026,0.026,ng/ml,,ng/ml,
Mill River,"Aug 22, 2018",2018,8,2018-08-22T00:00:00.000,normal (dry),Propiconazole,< 0.02,0.02,ng/ml,21,ng/ml,USEPA Aquatic Life Benchmark
Mill River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Chlorothalonil,< 0.02,0.02,ng/ml,0.18,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Diclofop-Acid,< 0.025,0.025,ng/ml,,ng/ml,
Wilmot River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Pp-Dde,< 0.025,0.025,ng/ml,,ng/ml,
Dunk River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Zoxamide,< 0.502,0.502,ng/ml,,ng/ml,
Winter River,"Jul 25, 2018",2018,7,2018-07-25T00:00:00.000,normal (dry),Chlorpyrifos,< 0.01,0.01,ng/ml,0.002,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Clyde River,"Jul 25, 2018",2018,7,2018-07-25T00:00:00.000,normal (dry),Dimethoate,< 0.04,0.04,ng/ml,6.2,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Chlormephos,< 0.025,0.025,ng/ml,,ng/ml,
Montague River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Chlorpyrifos-Methyl,< 0.053,0.053,ng/ml,,ng/ml,
Huntley River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Azoxystrobin,< 0.02,0.02,ng/ml,44,ng/ml,USEPA Aquatic Life Benchmark
Morell River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Pirimicarb,< 0.026,0.026,ng/ml,,ng/ml,
Mill River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Permethrin,< 0.01,0.01,ng/ml,0.004,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Vinclozolin,< 0.026,0.026,ng/ml,,ng/ml,
Clyde River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Permethrin,< 0.01,0.01,ng/ml,0.004,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Dunk River,"Aug 21, 2018",2018,8,2018-08-21T00:00:00.000,normal (dry),Thiophanate-Methyl,< 0.02,0.02,ng/ml,930,ng/ml,USEPA Aquatic Life Benchmark
Morell River,"Aug 22, 2018",2018,8,2018-08-22T00:00:00.000,normal (dry),Chlorantraniliprole,< 0.02,0.02,ng/ml,4.5,ng/ml,USEPA Aquatic Life Benchmark
Clyde River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Thiophanate-Methyl,< 0.02,0.02,ng/ml,930,ng/ml,USEPA Aquatic Life Benchmark
West River,"Aug 21, 2018",2018,8,2018-08-21T00:00:00.000,normal (dry),Carbofuran,< 0.02,0.02,ng/ml,1.8,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Morell River,"Aug 22, 2018",2018,8,2018-08-22T00:00:00.000,normal (dry),Thiophanate-Methyl,< 0.02,0.02,ng/ml,930,ng/ml,USEPA Aquatic Life Benchmark
Wilmot River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Mancozeb,< 100,100,ng/ml,47,ng/ml,USEPA Aquatic Life Benchmark
Dunk River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Cis-Chlordane,< 0.025,0.025,ng/ml,,ng/ml,
Morell River,"Jun 27, 2018",2018,6,2018-06-27T00:00:00.000,normal (dry),Dimethoate,< 0.04,0.04,ng/ml,6.2,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Winter River,"Jun 27, 2018",2018,6,2018-06-27T00:00:00.000,normal (dry),Tribenuron-Methyl,< 0.04,0.04,ng/ml,2,ng/ml,USEPA Aquatic Life Benchmark
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Quizalofop-Ethyl,< 0.025,0.025,ng/ml,,ng/ml,
Morell River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Malathion,< 0.025,0.025,ng/ml,,ng/ml,
Dunk River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Ipconazole,< 0.025,0.025,ng/ml,,ng/ml,
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Ethion,< 0.054,0.054,ng/ml,,ng/ml,
Morell River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),2 4-DB,< 0.025,0.025,ng/ml,,ng/ml,
Wilmot River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Cyprodinil,< 0.025,0.025,ng/ml,,ng/ml,
Dunk River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Atrazine,< 0.03,0.03,ng/ml,1.8,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Triticonazole,< 0.154,0.154,ng/ml,,ng/ml,
Clyde River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Fluazifop-P-Butyl,< 0.02,0.02,ng/ml,203,ng/ml,USEPA Aquatic Life Benchmark
Clyde River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Metalaxyl,< 0.03,0.03,ng/ml,100,ng/ml,USEPA Aquatic Life Benchmark
Mill River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Permethrin,< 0.01,0.01,ng/ml,0.004,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Imazethapyr,< 0.108,0.108,ng/ml,,ng/ml,
Montague River,"Aug 22, 2018",2018,8,2018-08-22T00:00:00.000,normal (dry),Thiophanate-Methyl,< 0.02,0.02,ng/ml,930,ng/ml,USEPA Aquatic Life Benchmark
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Chlormephos,< 0.025,0.025,ng/ml,,ng/ml,
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Desmetryn,< 0.026,0.026,ng/ml,,ng/ml,
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Clothianidin,0.2261,0.2261,ng/ml,0.02,ng/ml,Health Canada Guidance Value
Montague River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Clothianidin,0.02,0.02,ng/ml,0.02,ng/ml,Health Canada Guidance Value
Morell River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Ethalfluralin,< 0.125,0.125,ng/ml,,ng/ml,
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Pirimphos-Ethyl,< 0.052,0.052,ng/ml,,ng/ml,
Dunk River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Bromoxynil,< 0.025,0.025,ng/ml,,ng/ml,
Montague River,"Jun 27, 2018",2018,6,2018-06-27T00:00:00.000,normal (dry),Chlorantraniliprole,< 0.02,0.02,ng/ml,4.5,ng/ml,USEPA Aquatic Life Benchmark
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Imazamethabenz,< 0.05,0.05,ng/ml,,ng/ml,
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Folpet,< 0.212,0.212,ng/ml,,ng/ml,
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Triticonazole,< 0.154,0.154,ng/ml,,ng/ml,
Wilmot River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Metribuzin,< 0.03,0.03,ng/ml,1,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Wilmot River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Nitrapyrin,< 0.025,0.025,ng/ml,,ng/ml,
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Diclorvos,< 0.054,0.054,ng/ml,,ng/ml,
Montague River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Atrazine,< 0.025,0.025,ng/ml,1.8,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Montague River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Endosulfan I,< 0.01,0.01,ng/ml,0.006,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Winter River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Chlorantraniliprole,< 0.02,0.02,ng/ml,4.5,ng/ml,USEPA Aquatic Life Benchmark
Morell River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Trans Heptachlor Epoxide,< 0.082,0.082,ng/ml,,ng/ml,
Wilmot River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Thiophanate-Methyl,0.08,0.08,ng/ml,930,ng/ml,USEPA Aquatic Life Benchmark
Dunk River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Methamidophos,< 5.0,5,ng/ml,4.5,ng/ml,USEPA Aquatic Life Benchmark
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),op-DDT,< 0.025,0.025,ng/ml,,ng/ml,
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Chlorothalonil,< 0.052,0.052,ng/ml,0.18,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Phorate,< 0.026,0.026,ng/ml,0.21,ng/ml,USEPA Aquatic Life Benchmark
Dunk River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),op-DDD,< 0.025,0.025,ng/ml,,ng/ml,
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Eptc,< 0.025,0.025,ng/ml,,ng/ml,
West River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Phorate,< 0.01,0.01,ng/ml,0.21,ng/ml,USEPA Aquatic Life Benchmark
Wilmot River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Carbofuran,< 0.02,0.02,ng/ml,1.8,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Mill River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Thiabendazole,< 0.02,0.02,ng/ml,42,ng/ml,USEPA Aquatic Life Benchmark
Morell River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Methamidophos,< 5.0,5,ng/ml,4.5,ng/ml,USEPA Aquatic Life Benchmark
Wilmot River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Permethrin,< 0.01,0.01,ng/ml,0.004,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Mecoprop,< 0.025,0.025,ng/ml,,ng/ml,
Winter River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Thiamethoxam,< 0.01,0.01,ng/ml,0.3,ng/ml,Health Canada Guidance Value
Mill River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Phorate,< 0.01,0.01,ng/ml,0.21,ng/ml,USEPA Aquatic Life Benchmark
Dunk River,"Aug 21, 2018",2018,8,2018-08-21T00:00:00.000,normal (dry),Imidacloprid,< 0.02,0.02,ng/ml,0.041,ng/ml,Health Canada Guidance Value
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Bifenthrin,< 0.026,0.026,ng/ml,,ng/ml,
Morell River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Pyraclostrobin,< 0.156,0.156,ng/ml,,ng/ml,
Huntley River,"Aug 21, 2018",2018,8,2018-08-21T00:00:00.000,normal (dry),Dimethoate,< 0.04,0.04,ng/ml,6.2,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Clyde River,"Aug 22, 2018",2018,8,2018-08-22T00:00:00.000,normal (dry),Chlorpyrifos,< 0.01,0.01,ng/ml,0.002,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Chloroneb,< 0.025,0.025,ng/ml,,ng/ml,
Montague River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Cyfluthrin,< 0.073,0.073,ng/ml,,ng/ml,
Mill River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Terbacil,< 0.01,0.01,ng/ml,,ng/ml,
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Prothioconazole-Desthio,< 0.025,0.025,ng/ml,,ng/ml,
Huntley River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Azinphos-Methyl,< 0.03,0.03,ng/ml,0.036,ng/ml,USEPA Aquatic Life Benchmark
Montague River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Picoxystrobin,< 0.025,0.025,ng/ml,,ng/ml,
Dunk River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Tetramethrin I,< 0.025,0.025,ng/ml,,ng/ml,
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Quintozene,< 0.053,0.053,ng/ml,,ng/ml,
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),delta-BHC,< 0.153,0.153,ng/ml,,ng/ml,
Mill River,"Aug 22, 2018",2018,8,2018-08-22T00:00:00.000,normal (dry),Permethrin,< 0.01,0.01,ng/ml,0.004,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Clyde River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Fludioxonil,< 0.01,0.01,ng/ml,19,ng/ml,USEPA Aquatic Life Benchmark
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Methoprene,< 0.071,0.071,ng/ml,,ng/ml,
Dunk River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Carbofuran,< 0.02,0.02,ng/ml,1.8,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Montague River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Flonicamid,< 0.0125,0.0125,ng/ml,,ng/ml,
Wilmot River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Mirex,< 0.025,0.025,ng/ml,,ng/ml,
Dunk River,"Aug 21, 2018",2018,8,2018-08-21T00:00:00.000,normal (dry),Rimsulfuron,< 0.02,0.02,ng/ml,11.6,ng/ml,USEPA Aquatic Life Benchmark
Dunk River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Endosulfan I,< 0.01,0.01,ng/ml,0.006,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Montague River,"Jul 25, 2018",2018,7,2018-07-25T00:00:00.000,normal (dry),Hexazinone,< 0.02,0.02,ng/ml,7,ng/ml,USEPA Aquatic Life Benchmark
Dunk River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Nitenpyram,< 0.005,0.005,ng/ml,,ng/ml,
Dunk River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Chlorantraniliprole,0.04,0.04,ng/ml,4.5,ng/ml,USEPA Aquatic Life Benchmark
Wilmot River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Thiophanate-Methyl,< 0.02,0.02,ng/ml,930,ng/ml,USEPA Aquatic Life Benchmark
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Dimethachlor,< 0.025,0.025,ng/ml,,ng/ml,
Clyde River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Imidacloprid,< 0.02,0.02,ng/ml,0.041,ng/ml,Health Canada Guidance Value
Wilmot River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Cypermethrin,< 0.01,0.01,ng/ml,0.069,ng/ml,USEPA Aquatic Life Benchmark
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Chlorpyrifos,< 0.025,0.025,ng/ml,0.002,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Chlorpyrifos-Methyl,< 0.053,0.053,ng/ml,,ng/ml,
Winter River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Linuron,< 0.02,0.02,ng/ml,7,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Clyde River,"Jul 25, 2018",2018,7,2018-07-25T00:00:00.000,normal (dry),Thiophanate-Methyl,< 0.02,0.02,ng/ml,930,ng/ml,USEPA Aquatic Life Benchmark
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Terbutryn,< 0.025,0.025,ng/ml,,ng/ml,
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),2 4-D,< 0.025,0.025,ng/ml,,ng/ml,
Montague River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Hexazinone,< 0.051,0.051,ng/ml,7,ng/ml,USEPA Aquatic Life Benchmark
West River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Terbacil,< 0.01,0.01,ng/ml,,ng/ml,
Clyde River,"Jul 25, 2018",2018,7,2018-07-25T00:00:00.000,normal (dry),Chlorantraniliprole,< 0.02,0.02,ng/ml,4.5,ng/ml,USEPA Aquatic Life Benchmark
West River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Azinphos-Methyl,< 0.03,0.03,ng/ml,0.036,ng/ml,USEPA Aquatic Life Benchmark
Montague River,"Jul 25, 2018",2018,7,2018-07-25T00:00:00.000,normal (dry),Thiamethoxam,< 0.01,0.01,ng/ml,0.3,ng/ml,Health Canada Guidance Value
Wilmot River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Metalaxyl,< 0.025,0.025,ng/ml,100,ng/ml,USEPA Aquatic Life Benchmark
West River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Thiamethoxam,< 0.01,0.01,ng/ml,0.3,ng/ml,Health Canada Guidance Value
Huntley River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Permethrin,< 0.01,0.01,ng/ml,0.004,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),T-Chlordane,< 0.026,0.026,ng/ml,,ng/ml,
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Bromophos-Ethyl,< 0.026,0.026,ng/ml,,ng/ml,
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Butylate,< 0.026,0.026,ng/ml,,ng/ml,
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Metalaxyl,< 0.025,0.025,ng/ml,100,ng/ml,USEPA Aquatic Life Benchmark
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Bromopropylate,< 0.05,0.05,ng/ml,,ng/ml,
Clyde River,"Jul 25, 2018",2018,7,2018-07-25T00:00:00.000,normal (dry),Methamidophos,< 5.0,5,ng/ml,4.5,ng/ml,USEPA Aquatic Life Benchmark
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Naled,< 0.151,0.151,ng/ml,,ng/ml,
Mill River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Dimethoate,< 0.04,0.04,ng/ml,6.2,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Wilmot River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Benalaxyl,< 0.025,0.025,ng/ml,,ng/ml,
